#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	14	1453	0.11461	0.00124706	36.5	3.71
NC_006833.1	1	1080084	4	148	0.0137026	0.000208317	36.8	22
NC_012416.1	1	1445873	4	318	0.0219936	0.000321605	36.1	0
NC_010981.1	1	1482455	8	185	0.0124793	0.000404734	36	0
NC_018267.1	1	957990	58	104	0.0108561	0.00462635	35.8	0
NC_021084.1	1	1301823	2	160	0.0122905	0.000122905	36.7	2
NC_021089.1	1	1295804	4	339	0.0261614	0.000290167	36.1	0.5
NZ_HG810405.1	1	960618	152	730	0.0759927	0.00995505	35.7	3.71
NZ_AP013028.1	1	1250060	2	207	0.0165592	0.000165592	35.4	2
NZ_CM003641.1	1	1133809	16	205	0.0180806	0.000981647	35	0.25
NZ_CP031221.1	1	1484007	2	43	0.00289756	5.66035e-05	33	0
NZ_CP037426.1	1	1352354	6	288	0.0212962	0.000334971	34.2	0
