#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	6	618	0.0487466	0.000487466	35.6	0
NC_006833.1	1	1080084	16	821	0.0760126	0.00137582	36.6	1
NC_012416.1	1	1445873	7	563	0.0389384	0.000457855	35.5	0
NC_010981.1	1	1482455	6	501	0.0337953	0.000366959	36.4	0
NC_018267.1	1	957990	26	1236	0.12902	0.00251046	35.9	1.69
NC_021084.1	1	1301823	14	624	0.0479328	0.000906421	36.3	1.43
NC_021089.1	1	1295804	16	654	0.0504706	0.00120311	36.2	3.75
NZ_HG810405.1	1	960618	68	761	0.0792198	0.00326561	35.3	10.7
NZ_AP013028.1	1	1250060	16	779	0.062317	0.00118474	35.7	0.75
NZ_CM003641.1	1	1133809	6	403	0.0355439	0.000493028	36.4	0
NZ_CP031221.1	1	1484007	12	713	0.0480456	0.000649593	36.1	7.33
NZ_CP037426.1	1	1352354	66	603	0.0445889	0.00335563	35.8	18.7
