#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	154	8823	0.69594	0.0133469	35	15.1
NC_006833.1	1	1080084	50	739	0.0684206	0.00284422	35.6	16
NC_012416.1	1	1445873	174	9981	0.69031	0.0126118	35.3	8.62
NC_010981.1	1	1482455	3121	195715	13.2021	0.257	35.1	15.6
NC_018267.1	1	957990	14	683	0.0712951	0.00144052	34.7	0
NC_021084.1	1	1301823	615	34396	2.64214	0.0509109	35.4	9.14
NC_021089.1	1	1295804	82	6222	0.480165	0.00790089	34.7	7.93
NZ_HG810405.1	1	960618	92	688	0.0716206	0.0038902	35.3	11.1
NZ_AP013028.1	1	1250060	30	756	0.0604771	0.00154953	34.6	4.07
NZ_CM003641.1	1	1133809	217	10614	0.936137	0.0169332	35.1	9.52
NZ_CP031221.1	1	1484007	655	36766	2.47748	0.0471851	35.3	7.61
NZ_CP037426.1	1	1352354	164	8969	0.663214	0.0128088	35.4	11.9
