#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	17	1448	0.114215	0.00199798	34.6	7
NC_006833.1	1	1080084	18	344	0.0318494	0.000874006	35.8	0
NC_012416.1	1	1445873	12	1077	0.0744879	0.000784301	34.8	2.33
NC_010981.1	1	1482455	16	1767	0.119194	0.00144827	34.6	7.56
NC_018267.1	1	957990	10	439	0.0458251	0.000840301	35.1	4.4
NC_021084.1	1	1301823	9	620	0.0476255	0.000607609	35.1	2.56
NC_021089.1	1	1295804	7	889	0.0686061	0.000805677	35.7	3.86
NZ_HG810405.1	1	960618	18	481	0.0500719	0.000967086	34.4	9.78
NZ_AP013028.1	1	1250060	12	597	0.0477577	0.000647969	35.1	0.333
NZ_CM003641.1	1	1133809	6	323	0.028488	0.000399538	35.9	0
NZ_CP031221.1	1	1484007	136	260	0.0175201	0.00395618	35.6	1.91
NZ_CP037426.1	1	1352354	6	342	0.0252892	0.000345324	34.5	0.333
