#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	196	6711	0.52935	0.01465	35.3	5.13
NC_006833.1	1	1080084	241	1506	0.139434	0.0130953	35.3	3.3
NC_012416.1	1	1445873	93	2630	0.181897	0.00540227	35.7	1.4
NC_010981.1	1	1482455	91	2966	0.200074	0.00525547	35.2	1.65
NC_018267.1	1	957990	153	2282	0.238207	0.0116035	35.6	1.8
NC_021084.1	1	1301823	70	1717	0.131892	0.00364258	35.5	4.66
NC_021089.1	1	1295804	90	3545	0.273575	0.00580643	35.3	1.82
NZ_HG810405.1	1	960618	3032	2191	0.228082	0.109024	34.9	8.33
NZ_AP013028.1	1	1250060	183	2472	0.197751	0.0101187	35.7	3.07
NZ_CM003641.1	1	1133809	182	1768	0.155935	0.00984469	35.4	0.841
NZ_CP031221.1	1	1484007	701	1760	0.118598	0.0223752	35.8	1.73
NZ_CP037426.1	1	1352354	166	3376	0.249639	0.00832696	35.7	0.193
