#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	262	2321	0.183076	0.0211014	36	0.26
NC_006833.1	1	1080084	367	2451	0.226927	0.0366194	36.2	1.85
NC_012416.1	1	1445873	225	2155	0.149045	0.0158797	36.1	0.196
NC_010981.1	1	1482455	218	2250	0.151775	0.0149725	36	0.706
NC_018267.1	1	957990	548	2504	0.261381	0.0576739	36.1	0.0255
NC_021084.1	1	1301823	140	1701	0.130663	0.00965185	36.3	0.357
NC_021089.1	1	1295804	177	2182	0.16839	0.013306	36.4	3.55
NZ_HG810405.1	1	960618	879	2640	0.274823	0.0675284	36	4.2
NZ_AP013028.1	1	1250060	238	2697	0.21575	0.0190687	36	2.05
NZ_CM003641.1	1	1133809	336	2104	0.185569	0.0269649	36.3	1.2
NZ_CP031221.1	1	1484007	254	1589	0.107075	0.0157499	36	1.76
NZ_CP037426.1	1	1352354	369	2619	0.193662	0.0257396	35.9	2.41
