#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	4	294	0.0231901	0.000242944	35.8	0
NC_006833.1	1	1080084	8	94	0.00870303	0.00034164	33.9	6
NC_012416.1	1	1445873	4	43	0.00297398	0.000118959	36.4	0
NC_010981.1	1	1482455	4	343	0.0231373	0.000257681	36.3	7
NC_018267.1	1	957990	4	98	0.0102298	0.000204595	37	0
NC_021084.1	1	1301823	2	218	0.0167457	0.000167457	36.8	2
NC_021089.1	1	1295804	2	43	0.0033184	6.55963e-05	36.3	0
NZ_HG810405.1	1	960618	170	102	0.0106182	0.00644793	35.3	10.7
NZ_AP013028.1	1	1250060	6	43	0.00343983	0.00020319	36.1	0
NZ_CM003641.1	1	1133809	4	43	0.00379253	0.000151701	36.2	0
NZ_CP037426.1	1	1352354	10	397	0.0293562	0.000503566	35.8	0
NZ_CP031221.1	1	1484007	0	0	0	0	0	0
