#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	479	27132	2.14012	0.0526826	36.1	6.9
NC_006833.1	1	1080084	22	781	0.0723092	0.00157117	36.1	12
NC_012416.1	1	1445873	819	38392	2.65528	0.0809981	36	8.55
NC_010981.1	1	1482455	27201	1043847	70.4134	2.72452	35.9	16.2
NC_018267.1	1	957990	8	407	0.0424848	0.000621092	36.3	0
NC_021084.1	1	1301823	3532	195634	15.0277	0.392397	35.9	11.2
NC_021089.1	1	1295804	935	32853	2.53534	0.101301	36	9.99
NZ_HG810405.1	1	960618	156	236	0.0245675	0.00579835	35.5	12.5
NZ_AP013028.1	1	1250060	81	5323	0.42582	0.00745884	36.2	13.7
NZ_CM003641.1	1	1133809	871	57476	5.06928	0.110962	36	13.5
NZ_CP031221.1	1	1484007	4577	257583	17.3573	0.452201	35.9	9.67
NZ_CP037426.1	1	1352354	1137	44720	3.30683	0.117454	35.9	8.8
